"F1","F2","V","t","p","P","Angle"
0.134,0.141,0.396,24.463,84.401,100.771,-0.701
0.133,0.132,0.738,21.838,71.494,99.891,0.099
0.108,0.109,9.006,21.851,66.115,100.090,-0.082
0.122,0.123,3.505,23.445,81.058,100.114,-0.104
0.136,0.103,9.526,22.759,80.194,96.726,2.977
0.102,0.134,5.659,20.190,82.290,103.158,-2.871
0.107,0.112,5.209,20.239,78.374,100.516,-0.469
0.117,0.132,8.443,22.338,65.652,101.563,-1.421
0.116,0.125,5.705,23.346,75.934,100.894,-0.813
0.135,0.137,3.633,23.929,65.754,100.205,-0.186
0.108,0.123,8.895,20.632,82.131,101.585,-1.441
0.124,0.100,3.048,24.967,82.557,97.581,2.199
0.138,0.148,9.121,23.793,74.151,101.050,-0.954
0.103,0.114,3.851,21.075,84.687,101.132,-1.030
0.102,0.123,6.621,24.672,78.541,102.127,-1.934
0.114,0.112,3.747,22.585,66.703,99.794,0.188
0.149,0.145,7.216,24.702,75.262,99.647,0.321
0.125,0.127,2.510,23.353,70.218,100.216,-0.197
0.123,0.116,4.385,22.010,82.561,99.379,0.564
0.141,0.103,4.284,21.989,78.238,96.229,3.428
0.141,0.115,4.749,21.677,76.374,97.379,2.382
0.108,0.141,0.894,24.674,80.319,103.253,-2.957
0.122,0.149,3.376,20.469,65.392,102.737,-2.488
0.141,0.120,3.317,20.870,75.990,97.929,1.883
0.130,0.139,1.342,22.582,70.719,100.896,-0.814
0.122,0.115,3.604,20.759,76.178,99.244,0.687
0.125,0.118,7.846,23.477,84.397,99.225,0.705
0.118,0.134,9.239,21.511,69.631,101.549,-1.409
0.146,0.132,2.781,21.258,65.812,98.626,1.249
0.139,0.111,7.349,20.544,76.952,97.183,2.561
0.105,0.120,6.959,22.325,69.691,101.520,-1.381
0.112,0.142,8.208,24.611,75.619,102.923,-2.657
0.142,0.111,9.639,24.443,69.232,96.947,2.775
0.133,0.130,7.244,22.883,83.552,99.643,0.324
0.120,0.112,7.812,20.405,81.788,99.147,0.776
0.106,0.128,5.624,23.018,76.066,102.135,-1.941
0.103,0.134,8.711,23.186,69.529,103.118,-2.835
0.121,0.147,7.860,22.030,80.879,102.583,-2.348
0.122,0.114,5.667,24.854,70.186,99.205,0.723
0.108,0.139,7.568,21.170,73.302,103.097,-2.815
0.140,0.106,4.368,24.362,70.524,96.629,3.065
0.147,0.102,2.936,23.012,84.669,95.548,4.048
0.127,0.115,1.762,22.996,81.429,98.713,1.170
0.136,0.138,1.925,22.832,84.845,100.123,-0.112
0.115,0.106,9.453,20.855,71.999,99.020,0.891
0.140,0.147,8.580,23.811,66.965,100.687,-0.625
0.142,0.135,1.463,23.446,76.335,99.250,0.682
0.140,0.120,6.121,22.957,72.065,97.978,1.838
0.107,0.117,7.254,22.608,65.785,100.983,-0.894
0.109,0.145,2.742,20.634,70.026,103.595,-3.268
0.130,0.100,5.390,24.563,77.336,97.018,2.711
0.110,0.107,1.581,20.580,66.933,99.678,0.293
0.131,0.145,0.221,20.183,80.877,101.430,-1.300
0.145,0.142,8.212,20.226,69.675,99.737,0.239
0.120,0.121,6.614,22.916,75.680,100.111,-0.101
0.149,0.150,8.847,22.072,81.733,100.130,-0.118
0.101,0.118,9.174,20.187,65.768,101.643,-1.494
0.129,0.137,6.661,21.314,78.316,100.841,-0.764
0.115,0.135,6.910,20.282,79.597,101.972,-1.792
0.118,0.144,9.465,23.964,72.314,102.541,-2.310
0.127,0.134,1.917,24.208,68.830,100.651,-0.592
0.132,0.131,5.047,24.677,71.709,99.828,0.157
0.119,0.120,9.844,21.702,72.566,100.045,-0.041
0.103,0.122,8.929,20.129,71.884,101.862,-1.692
0.108,0.134,6.922,21.345,76.315,102.626,-2.387
0.113,0.133,9.981,20.797,68.015,101.986,-1.805
0.146,0.132,1.624,20.342,80.693,98.635,1.241
0.113,0.141,5.914,24.361,69.882,102.729,-2.481
0.135,0.103,1.806,24.457,69.811,96.831,2.881
0.130,0.148,8.309,22.608,75.652,101.759,-1.599
0.142,0.132,5.385,20.465,67.690,99.033,0.879
0.134,0.145,9.936,20.728,67.260,101.133,-1.030
0.142,0.139,2.503,20.267,77.982,99.726,0.249
0.145,0.115,9.518,20.560,81.138,97.058,2.675
0.114,0.140,7.157,21.456,79.278,102.597,-2.361
0.138,0.135,7.664,24.665,80.597,99.742,0.234
0.103,0.138,6.003,22.557,70.218,103.470,-3.155
0.123,0.123,8.823,21.324,75.002,100.028,-0.026
0.122,0.134,1.202,20.590,79.141,101.210,-1.100
0.109,0.120,0.012,24.188,71.769,101.091,-0.992
0.130,0.143,6.833,22.133,67.692,101.293,-1.176
0.114,0.121,0.959,22.370,83.840,100.652,-0.593
0.146,0.113,8.903,23.897,69.509,96.672,3.025
0.138,0.108,9.007,22.012,70.911,97.019,2.710
0.143,0.101,7.644,23.469,81.590,95.781,3.835
0.126,0.114,1.491,22.756,84.490,98.782,1.108
0.104,0.118,8.323,21.502,73.099,101.441,-1.310
0.127,0.145,1.548,22.504,82.277,101.809,-1.645
0.149,0.140,5.004,20.705,78.412,99.028,0.884
0.113,0.110,7.659,23.367,74.332,99.652,0.316
0.104,0.100,0.304,23.608,74.970,99.673,0.297
0.120,0.150,3.815,20.828,83.351,102.954,-2.685
0.128,0.150,4.214,21.268,65.211,102.186,-1.988
0.125,0.119,9.949,23.538,77.274,99.425,0.523
0.133,0.122,9.202,22.777,77.902,98.943,0.961
0.144,0.128,2.308,22.868,66.596,98.352,1.498
0.132,0.122,1.522,22.229,66.098,99.005,0.904
0.135,0.135,7.416,22.226,74.875,100.021,-0.019
0.138,0.113,0.749,21.703,84.851,97.521,2.254
0.135,0.144,2.424,21.346,80.126,100.896,-0.815
0.101,0.140,4.603,22.747,68.118,103.891,-3.537
0.146,0.139,5.168,21.511,80.313,99.246,0.686
0.126,0.114,7.607,20.522,76.399,98.771,1.118
0.144,0.138,5.260,23.901,68.283,99.481,0.471
0.120,0.103,1.647,21.563,75.394,98.348,1.502
0.147,0.115,2.145,20.686,67.176,96.761,2.944
0.131,0.114,7.283,22.486,82.046,98.280,1.563
0.102,0.124,5.552,24.456,82.717,102.253,-2.049
0.144,0.144,5.127,23.102,67.248,99.949,0.046
0.136,0.115,8.449,21.129,72.892,97.870,1.936
0.148,0.112,9.047,22.331,72.022,96.365,3.305
0.122,0.134,0.662,21.999,65.348,101.223,-1.112
0.145,0.146,1.201,23.914,83.536,100.086,-0.078
0.122,0.119,6.256,20.150,76.445,99.708,0.266
0.108,0.140,5.349,20.091,80.159,103.223,-2.930
0.110,0.147,4.540,21.325,66.895,103.673,-3.339
0.142,0.122,0.818,23.493,67.785,97.966,1.849
0.106,0.111,7.065,24.563,78.655,100.533,-0.484
0.143,0.147,8.579,22.714,77.623,100.414,-0.376
0.112,0.114,7.760,22.961,80.953,100.221,-0.201
0.127,0.114,7.919,20.321,72.617,98.693,1.188
0.124,0.130,1.276,21.697,80.085,100.581,-0.528
0.121,0.133,3.943,22.846,67.474,101.201,-1.092
0.107,0.101,8.647,21.737,76.100,99.414,0.533
0.114,0.125,1.145,22.232,75.214,101.102,-1.002
0.103,0.112,5.138,22.814,82.608,100.895,-0.814
0.142,0.129,3.703,23.035,73.247,98.717,1.167
0.107,0.128,4.244,21.758,69.858,102.122,-1.929
0.102,0.113,8.879,22.502,72.036,101.156,-1.051
0.139,0.114,8.439,20.352,67.107,97.525,2.250
0.147,0.111,8.018,21.424,82.312,96.391,3.281
0.130,0.112,1.912,21.231,77.063,98.218,1.620
0.125,0.121,8.632,20.947,78.066,99.610,0.354
0.145,0.149,2.820,21.370,74.467,100.492,-0.447
0.108,0.126,6.257,20.058,81.525,101.740,-1.582
0.143,0.131,5.958,23.449,78.397,98.822,1.071
0.109,0.141,1.646,21.984,78.815,103.181,-2.891
0.134,0.117,7.462,20.092,74.047,98.321,1.526
0.110,0.146,9.065,21.018,66.366,103.655,-3.322
0.106,0.134,9.960,21.782,73.617,102.727,-2.479
0.123,0.131,8.733,20.829,71.266,100.759,-0.690
0.114,0.111,6.379,21.741,77.862,99.706,0.268
0.117,0.121,8.083,21.723,81.857,100.387,-0.352
0.128,0.132,9.158,22.162,78.155,100.359,-0.326
0.141,0.148,9.752,23.982,74.850,100.779,-0.708
0.124,0.120,6.994,24.984,67.574,99.635,0.332
0.101,0.139,7.362,20.445,76.855,103.744,-3.404
0.132,0.140,1.907,24.660,84.450,100.754,-0.686
0.115,0.134,5.293,24.913,65.232,101.915,-1.741
0.133,0.100,8.149,21.583,84.274,96.680,3.018
0.115,0.123,0.861,23.836,79.470,100.813,-0.739
0.119,0.109,2.038,22.929,71.091,98.969,0.937
0.127,0.145,1.114,24.356,65.940,101.799,-1.635
0.107,0.146,6.551,21.170,73.654,103.933,-3.576
0.139,0.137,5.107,24.795,70.870,99.750,0.227
0.100,0.100,6.171,23.240,77.555,99.997,0.002
0.139,0.101,4.124,24.034,81.995,96.160,3.491
0.126,0.101,4.611,20.914,77.013,97.505,2.268
0.139,0.116,6.952,22.118,69.272,97.708,2.084
0.130,0.136,9.321,24.075,84.315,100.596,-0.542
0.135,0.113,2.872,20.900,68.309,97.796,2.004
0.127,0.143,3.300,24.596,80.838,101.603,-1.457
0.135,0.125,3.323,21.174,81.251,99.052,0.862
0.122,0.138,4.060,23.865,78.913,101.571,-1.428
0.133,0.148,9.733,23.254,82.802,101.430,-1.300
0.140,0.119,8.573,24.889,67.837,97.955,1.859
0.140,0.141,2.919,20.790,77.834,100.099,-0.090
0.125,0.137,1.592,21.886,74.953,101.185,-1.077
0.136,0.103,7.911,24.802,75.864,96.653,3.043
0.116,0.119,8.400,24.284,84.116,100.314,-0.285
0.122,0.112,1.160,20.473,79.607,98.989,0.920
0.114,0.123,1.362,23.739,82.977,100.921,-0.837
0.103,0.109,4.273,20.867,69.582,100.567,-0.515
0.118,0.144,8.855,23.076,73.924,102.560,-2.327
0.141,0.117,4.135,23.661,75.375,97.580,2.200
0.113,0.139,2.226,22.007,80.496,102.680,-2.436
0.143,0.147,7.144,24.590,74.781,100.394,-0.358
0.150,0.138,6.284,21.114,80.053,98.800,1.091
0.121,0.115,3.272,20.413,67.659,99.429,0.519
0.111,0.134,6.997,24.573,82.852,102.269,-2.063
0.110,0.143,3.135,22.682,79.247,103.250,-2.955
0.102,0.101,6.464,23.296,73.082,99.890,0.100
0.148,0.110,6.072,20.091,71.423,96.156,3.494
0.140,0.144,0.277,20.980,74.016,100.350,-0.318
0.124,0.117,2.019,20.128,67.809,99.311,0.626
0.110,0.121,4.387,23.736,80.909,101.077,-0.979
0.147,0.146,4.325,21.978,81.554,99.905,0.086
0.101,0.101,1.423,21.952,76.373,100.000,0.000
0.139,0.131,2.811,22.611,70.270,99.256,0.677
0.135,0.137,6.645,21.397,76.982,100.220,-0.200
0.132,0.134,4.111,20.751,65.818,100.193,-0.175
0.109,0.138,0.444,20.159,74.809,102.877,-2.615
0.101,0.132,0.466,21.783,76.715,103.041,-2.765
0.106,0.147,0.577,20.770,78.208,104.054,-3.685
0.130,0.103,0.963,22.143,84.019,97.300,2.455
0.142,0.141,9.361,21.015,81.151,99.923,0.070
0.144,0.113,0.557,21.564,73.838,96.833,2.879
0.146,0.141,8.503,24.115,80.255,99.484,0.469
0.135,0.107,0.973,22.675,65.019,97.263,2.489
0.134,0.110,8.546,22.827,73.510,97.566,2.213
0.108,0.118,3.725,20.412,74.756,101.031,-0.937
0.137,0.131,9.190,24.184,84.497,99.477,0.476
0.102,0.117,5.480,21.742,73.949,101.458,-1.325
0.134,0.131,2.027,23.817,78.103,99.743,0.234
0.120,0.144,7.602,20.977,82.006,102.408,-2.189
0.109,0.143,6.901,20.670,69.589,103.397,-3.088
0.135,0.127,6.072,23.360,73.356,99.169,0.755
0.115,0.131,0.518,21.079,70.870,101.615,-1.468
0.104,0.138,9.305,21.722,68.988,103.426,-3.115
0.130,0.135,5.734,22.755,76.585,100.573,-0.521
0.125,0.110,8.135,20.012,72.713,98.478,1.383
0.116,0.138,6.677,20.764,82.490,102.200,-2.000
0.114,0.114,2.562,24.223,77.368,100.024,-0.022
0.117,0.124,6.575,23.479,77.342,100.624,-0.567
0.120,0.113,5.009,24.048,75.562,99.257,0.676
0.110,0.139,2.623,23.454,83.151,102.846,-2.588
0.115,0.145,1.483,21.655,66.837,102.995,-2.723
0.114,0.133,3.432,23.240,82.270,101.958,-1.780
0.123,0.135,1.228,24.229,75.135,101.215,-1.105
0.113,0.137,3.869,22.943,77.710,102.407,-2.188
0.142,0.138,2.542,24.011,70.991,99.613,0.352
0.149,0.103,9.247,24.569,67.344,95.369,4.210
0.127,0.117,4.266,22.236,84.911,99.050,0.864
0.128,0.105,0.429,20.985,77.798,97.744,2.051
0.133,0.105,8.752,24.309,68.198,97.237,2.512
0.137,0.140,1.630,22.278,84.128,100.366,-0.333
0.109,0.112,4.432,20.005,80.941,100.288,-0.262
0.125,0.141,5.595,21.254,74.052,101.575,-1.432
0.116,0.131,7.429,23.700,79.373,101.482,-1.347
0.115,0.117,5.715,20.427,72.686,100.171,-0.156
0.122,0.145,7.233,20.302,70.992,102.237,-2.034
0.140,0.101,2.055,21.871,69.977,96.079,3.565
0.140,0.137,5.455,23.101,81.352,99.732,0.244
0.120,0.137,1.469,20.499,73.696,101.708,-1.552
0.115,0.148,6.434,21.664,70.070,103.352,-3.047
0.119,0.110,5.194,21.946,70.374,99.035,0.878
0.117,0.130,2.890,22.554,67.311,101.322,-1.202
0.132,0.105,8.736,23.757,72.487,97.349,2.410
0.137,0.121,7.584,24.290,74.388,98.379,1.473
0.119,0.115,2.762,21.550,68.986,99.675,0.296
0.120,0.123,4.909,20.002,79.363,100.252,-0.229
0.136,0.116,5.361,22.966,79.387,97.967,1.848
0.125,0.148,9.564,24.676,73.305,102.282,-2.075
0.120,0.104,9.045,24.502,72.184,98.334,1.515
0.121,0.123,0.597,23.744,82.199,100.247,-0.225
0.145,0.102,2.007,23.205,81.229,95.734,3.878
0.118,0.130,9.050,24.322,67.689,101.211,-1.101
0.106,0.128,7.790,24.022,83.437,102.209,-2.008
0.105,0.121,1.272,20.286,65.574,101.538,-1.398
0.111,0.136,3.412,20.740,74.687,102.527,-2.297
0.105,0.129,1.311,22.061,81.389,102.348,-2.134
0.128,0.128,9.629,20.500,68.106,99.941,0.054
0.131,0.137,5.032,22.263,79.101,100.636,-0.578
0.147,0.141,3.854,22.116,84.408,99.452,0.498
0.119,0.145,5.274,21.060,83.948,102.618,-2.380
0.110,0.143,9.770,23.153,78.063,103.333,-3.030
0.127,0.101,9.187,20.680,66.356,97.436,2.331
0.107,0.138,2.360,21.297,75.104,103.170,-2.882
0.140,0.109,8.243,23.822,81.379,96.897,2.821
0.131,0.143,5.094,20.045,81.681,101.231,-1.119
0.117,0.104,2.695,21.767,66.450,98.732,1.153
0.148,0.134,4.300,20.369,73.951,98.541,1.326
0.124,0.149,2.373,22.432,81.500,102.557,-2.325
0.103,0.147,8.263,22.325,80.758,104.346,-3.951
0.138,0.113,7.269,20.850,76.847,97.515,2.259
0.105,0.109,7.258,22.594,66.259,100.408,-0.371
0.102,0.113,6.522,24.456,69.078,101.171,-1.065
0.106,0.121,1.913,22.458,82.224,101.512,-1.375
0.118,0.140,5.501,24.877,65.637,102.236,-2.033
0.112,0.101,0.053,22.312,79.992,98.924,0.978
0.149,0.145,5.928,23.590,69.662,99.598,0.365
0.106,0.131,7.821,23.034,76.015,102.489,-2.263
0.136,0.116,8.129,20.613,83.271,98.022,1.798
0.146,0.144,6.438,20.764,78.368,99.809,0.174
0.139,0.134,9.461,20.160,79.357,99.469,0.482
0.102,0.142,0.964,20.519,75.004,104.022,-3.656
0.136,0.112,7.951,24.337,76.992,97.641,2.145
0.141,0.144,1.180,22.232,70.814,100.317,-0.288
0.146,0.117,6.993,21.819,71.690,97.059,2.673
0.140,0.118,0.892,24.076,75.361,97.809,1.992
0.143,0.132,5.001,20.618,82.687,98.926,0.976
0.129,0.134,2.854,21.047,70.615,100.464,-0.421
0.129,0.122,3.999,24.699,83.053,99.298,0.638
0.121,0.129,9.676,20.177,65.894,100.866,-0.787
0.124,0.125,0.759,21.027,76.151,100.091,-0.082
0.150,0.145,8.567,23.351,79.238,99.569,0.391
0.106,0.116,0.294,22.700,72.262,101.017,-0.924
0.114,0.107,7.902,22.832,83.342,99.308,0.629
0.107,0.135,8.543,24.833,84.238,102.769,-2.517
0.147,0.121,2.155,23.363,80.261,97.375,2.386
0.106,0.126,7.317,21.979,77.283,101.963,-1.785
0.117,0.129,1.747,24.122,79.494,101.202,-1.093
0.117,0.114,8.981,21.569,77.289,99.760,0.218
0.122,0.134,6.474,21.773,66.926,101.227,-1.115
0.145,0.129,8.872,23.526,79.029,98.403,1.452
0.144,0.108,1.940,24.142,69.455,96.474,3.205
0.147,0.108,9.093,22.206,68.148,96.084,3.560
0.101,0.118,9.072,20.433,79.113,101.731,-1.573
0.141,0.117,5.303,24.620,81.227,97.567,2.211
0.141,0.129,1.845,21.356,81.953,98.821,1.072
0.118,0.130,7.855,24.253,69.513,101.220,-1.109
0.148,0.132,4.969,20.045,69.001,98.425,1.432
0.135,0.109,4.947,24.042,70.341,97.397,2.366
0.118,0.112,9.949,22.338,83.752,99.401,0.544
0.116,0.134,3.421,21.879,76.665,101.833,-1.666
0.124,0.114,6.461,21.298,65.537,99.011,0.899
0.110,0.118,1.203,20.879,78.236,100.811,-0.737
0.110,0.130,1.151,23.073,65.115,102.006,-1.824
0.114,0.121,9.433,20.021,80.181,100.689,-0.627
0.125,0.144,0.047,24.242,81.683,101.904,-1.731
0.119,0.107,1.744,22.617,83.641,98.776,1.113
0.146,0.101,7.695,23.016,75.134,95.539,4.056
0.149,0.105,1.166,21.608,83.317,95.626,3.976
0.146,0.115,2.973,24.135,66.802,96.945,2.777
0.142,0.130,2.289,22.029,74.898,98.764,1.123
0.140,0.116,0.530,23.814,73.066,97.642,2.144
0.139,0.133,6.440,22.273,74.462,99.409,0.537
0.124,0.105,3.427,22.956,77.888,98.069,1.755
0.137,0.148,8.865,23.320,70.832,101.149,-1.045
0.143,0.113,2.022,22.047,68.704,96.929,2.792
0.122,0.140,5.128,24.336,82.303,101.823,-1.657
0.115,0.116,4.977,24.633,75.263,100.133,-0.121
0.127,0.137,0.973,21.962,70.010,101.013,-0.921
0.137,0.141,0.717,23.818,65.688,100.404,-0.367
0.118,0.128,7.430,24.113,67.802,100.976,-0.887
0.146,0.119,4.885,24.884,82.124,97.391,2.372
0.134,0.110,9.416,21.877,77.979,97.518,2.257
0.116,0.105,4.426,22.343,67.351,98.893,1.007
0.123,0.114,8.053,21.607,72.713,99.081,0.835
0.147,0.116,2.335,24.907,69.870,96.932,2.789
0.148,0.126,2.758,20.743,71.202,97.779,2.019
0.112,0.104,6.183,22.594,80.360,99.257,0.675
0.139,0.130,9.430,20.922,72.708,99.008,0.902
0.130,0.150,3.603,22.834,79.620,101.965,-1.787
0.122,0.146,1.216,23.314,65.348,102.463,-2.239
0.114,0.126,1.233,23.666,70.076,101.205,-1.095
0.127,0.145,7.398,24.761,79.958,101.790,-1.627
0.138,0.147,1.832,23.958,76.732,100.874,-0.795
0.140,0.111,5.070,20.234,74.765,97.069,2.664
0.116,0.117,5.440,20.522,70.073,100.077,-0.070
0.116,0.102,4.513,22.862,83.582,98.613,1.261
0.146,0.109,4.628,24.194,72.203,96.322,3.344
0.148,0.120,1.790,23.666,84.672,97.263,2.488
0.122,0.116,8.739,21.355,83.031,99.440,0.509
0.128,0.101,5.203,22.370,69.245,97.255,2.496
0.128,0.128,7.946,20.707,66.229,99.999,0.001
0.139,0.122,7.534,20.002,74.337,98.293,1.552
0.123,0.147,0.637,20.829,68.568,102.443,-2.221
0.148,0.135,5.676,20.155,77.096,98.725,1.159
0.100,0.127,6.715,21.411,65.401,102.662,-2.420
0.129,0.121,0.893,24.181,82.473,99.172,0.752
0.121,0.112,8.310,21.603,71.202,99.071,0.845
0.114,0.113,4.229,20.459,70.835,99.924,0.069
0.110,0.140,5.795,22.698,77.881,103.011,-2.737
0.106,0.106,9.927,21.379,67.032,99.928,0.066
0.131,0.142,7.988,24.292,71.096,101.131,-1.028
0.102,0.107,8.153,22.970,75.940,100.537,-0.488
0.139,0.117,4.347,22.033,69.547,97.827,1.975
0.110,0.130,3.899,20.691,73.268,102.030,-1.845
0.100,0.123,7.587,20.190,74.199,102.259,-2.053
0.103,0.101,5.890,20.713,68.828,99.752,0.226
0.138,0.116,4.861,21.702,70.869,97.761,2.035
0.111,0.130,2.825,22.590,65.715,101.969,-1.790
0.148,0.129,9.572,22.896,70.856,98.054,1.769
0.108,0.141,3.694,23.131,66.578,103.322,-3.020
0.137,0.123,5.524,23.127,65.226,98.678,1.202
0.122,0.150,5.589,24.963,84.797,102.770,-2.518
0.139,0.144,1.031,23.001,80.324,100.447,-0.406
0.100,0.139,3.063,21.797,72.265,103.904,-3.549
0.122,0.144,2.249,22.972,69.033,102.206,-2.006
0.104,0.113,5.533,24.302,69.803,100.892,-0.811
0.117,0.143,9.193,24.494,69.755,102.569,-2.335
0.135,0.137,0.212,23.326,77.660,100.184,-0.167
0.126,0.105,3.052,20.347,80.347,97.873,1.933
0.147,0.117,5.769,21.619,65.236,96.974,2.751
0.143,0.113,4.026,23.993,74.987,96.967,2.758
0.146,0.112,9.414,21.584,66.696,96.563,3.125
0.126,0.135,9.475,22.096,75.320,100.819,-0.744
0.115,0.102,2.813,24.527,84.408,98.759,1.128
0.130,0.122,4.819,22.116,76.205,99.195,0.732
0.111,0.112,6.631,20.197,80.417,100.136,-0.123
0.134,0.102,8.317,23.604,77.750,96.805,2.905
0.107,0.134,1.971,23.456,65.010,102.716,-2.469
0.106,0.130,6.277,20.554,80.604,102.410,-2.191
0.103,0.136,4.745,24.825,79.169,103.258,-2.962
0.138,0.100,6.140,24.046,75.956,96.250,3.409
0.135,0.132,5.808,24.748,73.543,99.758,0.220
0.134,0.134,9.480,23.284,80.376,99.931,0.063
0.108,0.125,7.858,21.266,74.305,101.712,-1.556
0.108,0.147,1.260,24.644,75.071,103.907,-3.552
0.147,0.150,5.836,24.335,84.632,100.293,-0.266
0.150,0.140,2.001,21.779,83.074,99.008,0.902
0.104,0.123,0.647,20.693,81.953,101.822,-1.657
0.111,0.123,7.602,23.061,71.140,101.256,-1.142
0.130,0.138,2.340,24.802,72.908,100.799,-0.726
0.104,0.116,8.140,20.266,76.870,101.277,-1.161
0.122,0.136,3.217,22.534,68.634,101.429,-1.299
0.148,0.118,5.660,24.134,79.250,96.977,2.748
0.118,0.111,7.672,23.004,80.098,99.307,0.630
0.141,0.122,5.298,23.376,80.169,98.125,1.705
0.110,0.127,2.215,22.950,79.854,101.687,-1.534
0.121,0.126,6.122,21.546,82.732,100.460,-0.418
0.110,0.141,2.364,20.479,76.526,103.074,-2.795
0.117,0.106,3.814,21.300,74.417,98.870,1.027
0.144,0.123,1.090,20.255,74.958,97.901,1.908
0.140,0.119,5.850,20.384,83.178,97.873,1.934
0.144,0.133,1.533,20.821,73.279,98.932,0.971
0.145,0.113,4.660,24.735,71.436,96.847,2.867
0.124,0.134,3.079,20.703,76.856,100.945,-0.859
0.148,0.123,7.782,23.905,67.782,97.537,2.239
0.112,0.116,9.532,20.955,67.643,100.380,-0.346
0.103,0.127,3.576,21.392,82.265,102.442,-2.220
0.130,0.102,3.216,20.989,74.609,97.206,2.540
0.140,0.108,5.357,23.960,79.826,96.809,2.901
0.130,0.105,4.913,21.329,72.386,97.489,2.283
0.130,0.126,2.794,20.543,84.612,99.643,0.325
0.111,0.117,6.196,24.335,73.447,100.585,-0.532
0.104,0.105,7.019,21.961,71.630,100.096,-0.087
0.116,0.149,7.049,21.386,74.412,103.297,-2.997
0.128,0.104,8.109,22.275,78.832,97.612,2.171
0.112,0.149,9.884,20.045,81.085,103.620,-3.291
0.137,0.149,1.848,20.177,80.513,101.199,-1.090
0.138,0.113,1.255,20.749,77.757,97.483,2.288
0.116,0.103,7.935,23.030,77.672,98.648,1.229
0.127,0.101,0.139,23.844,65.254,97.455,2.313
0.140,0.147,6.320,20.838,81.759,100.641,-0.583
0.113,0.123,6.706,20.501,80.255,100.985,-0.895
0.129,0.130,2.214,20.214,67.035,100.038,-0.035
0.141,0.131,1.576,21.469,78.680,98.966,0.940
0.138,0.141,8.814,21.272,82.941,100.299,-0.272
0.125,0.120,8.830,20.154,83.250,99.493,0.461
0.115,0.105,7.708,24.820,73.284,98.968,0.938
0.139,0.133,7.437,20.171,65.305,99.399,0.546
