"t","p","V","P","Angle"
0.11428571,0.8874338,0.44,0.0770194,-0.52
0.11428571,0.8879911,0.015,3.05E-06,0.14
0.11428571,0.8957927,0.945,0.7702226,-0.4
0.11428571,0.8807467,0.49,0.1055754,-0.09
0.11428571,0.8838116,0.27,0.0177229,-0.79
0.11428571,0.895932,0.735,0.3624576,-0.24
0.11428571,0.8881304,0.345,0.0371579,0.31
0.11428571,0.8879911,0.615,0.2104382,-0.71
0.11428571,0.8895235,0.68,0.2849613,0.58
0.11428571,0.8807467,0.745,0.3710561,0.25
0.14285714,0.883951,0.065,0.0002473,0.91
0.14285714,0.8853441,0.73,0.3509027,0.52
0.14285714,0.8853441,0.455,0.0849688,-0.4
0.14285714,0.8853441,0.625,0.2202156,-0.65
0.14285714,0.8867373,0.735,0.3587164,-0.67
0.14285714,0.8892449,0.12,0.0015656,0.53
0.14285714,0.8870159,0.71,0.3234666,0.12
0.14285714,0.8859014,0.5,0.1128266,0.34
0.14285714,0.8859014,0.415,0.064512,-0.44
0.14285714,0.8881304,0.105,0.0010474,-0.73
0.14285714,0.8886877,0.33,0.0325397,0.14
0.17142857,0.8811647,0.41,0.0618775,0.02
0.17142857,0.8814433,0.065,0.0002466,0.71
0.17142857,0.8836723,0.595,0.1896395,0.75
0.17142857,0.8845082,0.74,0.3651749,-0.55
0.17142857,0.8820006,0.995,0.8852245,0.36
0.17142857,0.8828364,0.94,0.7470835,0.53
0.17142857,0.8817219,0.86,0.5713466,-0.88
0.17142857,0.8817219,0.2,0.0071859,-0.98
0.17142857,0.8814433,0.98,0.8452597,-0.31
0.17142857,0.8792143,0.77,0.4089526,0.52
0.22857143,0.8748955,0.77,0.4069589,-0.16
0.22857143,0.8735024,1,0.8899731,-0.41
0.22857143,0.8729451,0.985,0.8499996,0.11
0.22857143,0.8704374,0.085,0.0005446,0.83
0.22857143,0.8704374,0.56,0.1557299,0.9
0.22857143,0.8729451,0.58,0.1735208,-0.81
0.22857143,0.8751741,0.99,0.8651721,0.57
0.22857143,0.8732237,0.24,0.012298,0.87
0.22857143,0.8718306,0.795,0.4463221,0.37
0.22857143,0.8696016,0.85,0.5441239,-0.22
0.22857143,0.8707161,0.735,0.3522187,-0.87
0.28571429,0.8683477,0.285,0.020481,0
0.28571429,0.8675118,0.53,0.13159,0.25
0.28571429,0.8700195,0.33,0.0318552,-0.46
0.28571429,0.871134,0.235,0.0115185,0.5
0.28571429,0.8716913,0.56,0.1559516,0.96
0.28571429,0.8730844,0.68,0.2797091,0.07
0.28571429,0.8750348,0.465,0.0896352,0.67
0.28571429,0.8753135,0.015,3.01E-06,0.91
0.28571429,0.8750348,0.11,0.0011866,-0.77
0.28571429,0.876428,0.15,0.0030137,-0.35
0.34285714,0.8623572,0.93,0.7066921,-0.67
0.34285714,0.8637503,0.615,0.2047029,0.45
0.34285714,0.8665366,0.055,0.0001469,0.73
0.34285714,0.8676512,0.375,0.0466119,1
0.34285714,0.8679298,0.175,0.0047387,0.96
0.34285714,0.8673725,0.49,0.1039577,-0.96
0.34285714,0.866258,0.46,0.0859056,-0.59
0.34285714,0.8676512,0.51,0.11726,-0.67
0.34285714,0.8676512,0.985,0.8447398,0.91
0.34285714,0.8651435,0.95,0.7557018,-0.7
0.34285714,0.8643076,0.895,0.631336,-0.11
0.4,0.856088,0.95,0.7478381,-0.29
0.4,0.8580385,0.45,0.0796544,0.94
0.4,0.8608247,0.09,0.0006393,-0.72
0.4,0.8611034,0.155,0.0032668,0.9
0.4,0.8616606,0.655,0.2467012,-0.44
0.4,0.8605461,0.275,0.0182339,0.49
0.4,0.8608247,0.52,0.1233059,-0.99
0.4,0.8588743,0.295,0.0224652,0.37
0.4,0.8580385,0.325,0.0300107,-0.28
0.4,0.8572026,0.66,0.2510712,-0.8
0.4,0.8552522,0.92,0.6785436,-0.24
0.42857143,0.8533018,0.57,0.1609987,0.66
0.42857143,0.85163,0.395,0.053475,-0.48
0.42857143,0.8523266,0.98,0.8173366,0.33
0.42857143,0.8495403,0.995,0.8526006,-0.69
0.42857143,0.8481471,0.77,0.3945184,0.01
0.42857143,0.8425745,0.635,0.2197809,0.98
0.42857143,0.8356088,0.12,0.0014712,0.03
0.42857143,0.8425745,0.285,0.0198731,-0.09
0.42857143,0.8425745,0.73,0.3339609,0.28
0.42857143,0.8363054,0.83,0.4871936,0.57
0.45714286,0.8505155,0.75,0.3655628,-0.65
0.45714286,0.856088,0.965,0.7838205,0.34
0.45714286,0.856088,0.455,0.0821538,-0.86
0.45714286,0.8539983,0.65,0.2389544,-0.3
0.45714286,0.8574812,0.515,0.1193209,-0.9
0.45714286,0.851212,0.5,0.1083957,0.95
0.45714286,0.8477292,0.72,0.3223874,-0.09
0.45714286,0.8491223,0.935,0.7071271,0.69
0.45714286,0.8456395,0.255,0.0142846,-0.97
0.45714286,0.8442463,0.155,0.003203,0.7
0.45714286,0.8484257,1,0.8643867,0.67
0.51428571,0.8442463,0.665,0.2529413,-0.76
0.51428571,0.8505155,0.49,0.1019459,-0.61
0.51428571,0.8491223,0.11,0.0011515,0.19
0.51428571,0.8449429,0.965,0.773617,0.33
0.51428571,0.8421566,0.57,0.1589063,0.04
0.51428571,0.8484257,0.05,0.0001081,-0.2
0.51428571,0.8498189,0.045,7.89E-05,-0.42
0.51428571,0.8442463,0.485,0.0981276,-0.64
0.51428571,0.8442463,0.27,0.016931,-0.13
0.51428571,0.8484257,0.345,0.0354964,0.41
0.51428571,0.851212,0.66,0.2493381,-0.27
0.57142857,0.8387434,0.9,0.6229223,-0.84
0.57142857,0.844316,0.735,0.3415765,0.21
0.57142857,0.8477988,0.925,0.6836624,-0.06
0.57142857,0.8471023,0.005,1.08E-07,-0.78
0.57142857,0.8505851,0.085,0.0005322,-0.02
0.57142857,0.8519783,0.755,0.3735832,-0.3
0.57142857,0.8457091,0.485,0.0982891,-0.99
0.57142857,0.8387434,0.76,0.3751124,-0.7
0.57142857,0.83944,0.685,0.2748982,-0.45
0.57142857,0.8422262,0.025,1.34E-05,0.16
0.62857143,0.8331011,0.65,0.2330777,-0.96
0.62857143,0.8379772,0.54,0.1344269,0.88
0.62857143,0.8386737,0.51,0.1133493,0.36
0.62857143,0.84146,0.655,0.2409062,0.71
0.62857143,0.8428532,0.435,0.0706838,-0.6
0.62857143,0.846336,0.255,0.0142972,0.73
0.62857143,0.8421566,0.89,0.6048512,0.76
0.62857143,0.8484257,0.955,0.7529009,0.39
0.62857143,0.8456395,0.44,0.0733911,-0.6
0.62857143,0.851212,0.545,0.1403929,-0.3
0.62857143,0.8477292,0.095,0.0007405,0.1
0.68571429,0.8533018,0.76,0.3816439,0.37
0.68571429,0.8498189,0.49,0.1018638,0.53
0.68571429,0.8533018,0.67,0.2614587,-0.85
0.68571429,0.8484257,0.81,0.4593361,0.97
0.68571429,0.8477292,0.22,0.009196,-0.88
0.68571429,0.8442463,0.84,0.5098309,-0.27
0.68571429,0.8386737,0.55,0.1421647,0.45
0.68571429,0.8358874,0.81,0.4526112,-0.15
0.68571429,0.8379772,0.795,0.4289926,-0.34
0.68571429,0.8344943,0.84,0.5039458,0.14
0.68571429,0.8275286,0.465,0.0847644,0.89
0.71428571,0.8246726,0.075,0.0003545,-0.22
0.71428571,0.8274589,0.865,0.5456126,-0.72
0.71428571,0.8294093,0.495,0.1024837,-0.9
0.71428571,0.8291307,0.565,0.1523646,0.35
0.71428571,0.8282948,0.29,0.0205826,0.16
0.71428571,0.8285734,0.905,0.6257259,-0.5
0.71428571,0.8296879,0.545,0.1368402,-0.47
0.71428571,0.8277375,0.59,0.1732056,0.4
0.71428571,0.8294093,0.73,0.3287034,0.93
0.71428571,0.8299666,0.15,0.0028539,0.64
0.74285714,0.821956,0.405,0.0556336,-0.1
0.74285714,0.8213987,0.105,0.0009688,-0.42
0.74285714,0.8188911,0.8,0.4271733,-0.49
0.74285714,0.8202842,0.67,0.2513491,-0.73
0.74285714,0.8188911,0.255,0.0138334,0.8
0.74285714,0.8205628,0.1,0.000836,-0.53
0.74285714,0.8200056,0.265,0.0155463,0.88
0.74285714,0.8194483,0.64,0.2188695,0.06
0.74285714,0.8183338,0.265,0.0155164,0.08
0.74285714,0.8211201,0.88,0.5701099,-0.55
0.74285714,0.821956,0.08,0.0004288,0.42
0.8,0.8163834,0.555,0.1421931,-0.53
0.8,0.8177765,0.915,0.6382364,0.78
0.8,0.8200056,0.37,0.0423175,-0.63
0.8,0.8200056,0.645,0.22417,-0.8
0.8,0.8186124,0.985,0.7970841,-0.32
0.8,0.8172193,0.765,0.3727706,-0.28
0.8,0.8149902,0.66,0.2387162,-0.63
0.8,0.8163834,0.98,0.7827998,-0.83
0.8,0.8180552,0.68,0.2620796,-0.03
0.8,0.8183338,0.565,0.1503821,-0.23
0.8,0.8155475,0.085,0.0005102,0.91
0.85714286,0.8110894,0.045,7.53E-05,-0.92
0.85714286,0.8152689,0.725,0.3165434,-0.29
0.85714286,0.8089997,0.9,0.6008209,-0.91
0.85714286,0.8159654,0.02,6.65E-06,0.37
0.85714286,0.8159654,0.355,0.0371905,0.86
0.85714286,0.816662,0.24,0.0115018,-0.73
0.85714286,0.8096963,0.145,0.0025151,-0.06
0.85714286,0.8124826,0.175,0.0044363,0.68
0.85714286,0.8173586,0.34,0.0327293,0.75
0.91428571,0.8059348,0.01,8.21E-07,0.54
0.91428571,0.8087211,0.695,0.2766157,-0.07
0.91428571,0.8129005,0.985,0.7915165,-0.39
0.91428571,0.8087211,0.12,0.0014238,0.23
0.91428571,0.8052382,0.085,0.0005038,-0.91
0.91428571,0.812204,0.15,0.0027927,0.82
0.91428571,0.8142937,0.795,0.4168663,-0.38
0.91428571,0.8205628,0.87,0.5505311,0.42
0.91428571,0.8247423,0.19,0.0057635,0.53
0.91428571,0.8226525,0.17,0.0041178,-0.53
0.91428571,0.8212594,0.22,0.0089095,0.51
0.97142857,0.8714126,0.115,0.0013503,-0.2
0.97142857,0.8741989,0.625,0.2174574,-0.03
0.97142857,0.8804681,0.855,0.5607069,-0.01
0.97142857,0.8860407,0.62,0.2151266,-0.94
0.97142857,0.8874338,0.475,0.0969008,0.45
0.97142857,0.8811647,0.825,0.5040762,-0.84
0.97142857,0.8832544,0.3,0.0242979,-0.26
0.97142857,0.8902201,0.085,0.000557,-0.59
0.97142857,0.8943996,0.51,0.1208823,0.22
0.97142857,0.8957927,0.58,0.178071,0.58
0.97142857,0.8950961,0.83,0.5214679,-0.07
1,0.7979242,0.06,0.0001756,0.8
1,0.7951379,0.7,0.2778683,-0.57
1,0.7979242,0.935,0.6645363,0.16
1,0.7972276,0.1,0.0008122,-0.67
1,0.7972276,0.535,0.1243817,-0.41
1,0.7916551,0.93,0.6487966,0.05
1,0.7888688,0.35,0.03446,0.52
1,0.7846893,0.925,0.6327679,0.19
1,0.7777236,0.835,0.4612882,-0.74
1,0.7749373,0.11,0.0010508,0.76
1,0.7777236,0.79,0.3906855,0.22
