"t","p","V","P","Angle"
0,0.91407,0.685,0.12568,0.14444
0,0.90284,0.745,0.00622,0.96667
0,0.91828,0.355,0.01575,0.23333
0.14286,0.8909,0.035,1.60E-05,0.15556
0.14286,0.89301,0.02,1.50E-06,0.58889
0.14286,0.89652,0.64,0.11751,0
0.14286,0.89301,0.085,0.00011,0.58889
0.14286,0.88669,0.05,3.00E-05,0.46667
0.14286,0.88669,0.725,0.107,0.36667
0.14286,0.89301,0.43,0.02564,0.27778
0.14286,0.88669,0.115,0.00043,0.35556
0.14286,0.8895,0.625,0.05429,0.5
0.14286,0.89301,0.095,0.00035,0.07778
0.14286,0.8902,0.09,0.0002,0.38889
0.28571,0.87518,0.97,0.26181,0.34444
0.28571,0.87026,0.275,0.00573,0.36667
0.28571,0.86394,0.485,0.02957,0.4
0.28571,0.86956,0.09,0.00015,0.52222
0.28571,0.86675,0.89,0.13579,0.55556
0.28571,0.87237,0.885,0.26539,0.12222
0.28571,0.87167,0.665,0.09684,0.24444
0.28571,0.87237,0.385,0.01106,0.55556
0.28571,0.86886,0.755,0.06232,0.66667
0.28571,0.87377,0.23,0.00213,0.6
0.42857,0.86001,0.975,0.3897,0.02222
0.42857,0.85299,0.095,4.90E-05,0.86667
0.42857,0.86001,0.29,0.00688,0.34444
0.42857,0.85791,0.31,0.00568,0.55556
0.42857,0.85159,0.16,0,1
0.42857,0.8551,0.305,0.00027,0.97778
0.42857,0.86142,0.535,0.00586,0.91111
0.42857,0.8558,0.89,0.10726,0.64444
0.42857,0.85931,0.005,1.20E-08,0.77778
0.42857,0.86352,0.55,0.00639,0.91111
0.57143,0.84534,0.995,0.16654,0.6
0.57143,0.84042,0.375,0.00049,0.97778
0.57143,0.83621,0.81,0.07407,0.66667
0.57143,0.8334,0.06,6.30E-05,0.3
0.57143,0.82989,0.12,0.00058,0.18889
0.57143,0.82428,0.355,0.01762,0.04444
0.57143,0.82919,0.41,0.01587,0.44444
0.57143,0.82709,0.645,0.09247,0.16667
0.57143,0.82147,0.69,0.07346,0.45556
0.57143,0.82147,0.705,0.02399,0.83333
0.71429,0.83116,0.55,0.04379,0.36667
0.71429,0.83467,0.09,0.0003,0.01111
0.71429,0.83045,0.18,0.00223,0.07778
0.71429,0.83537,0.99,0.33773,0.16667
0.71429,0.83116,0.51,0.03736,0.32222
0.71429,0.83397,0.24,0.00269,0.53333
0.71429,0.83818,0.17,0.00126,0.38889
0.71429,0.84239,0.08,7.20E-06,0.96667
0.71429,0.84941,0.975,0.27555,0.3
0.71429,0.85643,0.585,0.0762,0.11111
0.85714,0.81747,0.33,0.00065,0.95556
0.85714,0.81255,0.355,0.01353,0.25556
0.85714,0.80623,0.44,0.01259,0.63333
0.85714,0.80974,0.73,0.112,0.28889
0.85714,0.81536,0.825,0.14244,0.37778
0.85714,0.80834,0.125,0.00071,0.1
0.85714,0.80132,0.25,0.0055,0.12222
0.85714,0.80764,0.56,0,1
0.85714,0.81185,0.165,0.00099,0.45556
0.85714,0.81185,0.435,0.02933,0.12222
1,0.8042,0.22,0.00086,0.8
1,0.81052,0.89,0.23173,0.18889
1,0.81332,0.195,0.00235,0.22222
1,0.80701,0.335,0.00371,0.75556
1,0.80069,0.01,3.00E-07,0.25556
1,0.8035,0.875,0.08373,0.68889
1,0.80911,0.9,0.06554,0.77778
1,0.80279,0.825,0.08014,0.64444
1,0.80841,0.78,0.01492,0.92222
1,0.81262,0.515,0.05303,0.04444
1,0.81543,0.53,0.04721,0.22222
